ID;Name;Gender;Relations;Years of life;City;Location as mentioned on print products;Years of activity;Kind of print and sales activities;KVCS-ID
KVCS:41;Callenbach, G F ;m;vanaf 1887 met zoon Georg Frans Callenbach, opvolger van 41 is Uitgeverij G F Callenbach;1833-1916);Nijkerk; ;1854 - 1916;prentdrukker, boekdrukker, boekhandelaar, boekbinder;18
KVCS:42;Callenbach-Klenck, Reinier;m;;;Enkhuizen;in de Oude Wester-straat;1748 - 1798;prentdrukker, boekdrukker, boekhandelaar, boekbinder;17
KVCS:43;Callewaert Frères;m, m;opvolger van Devigne & Callewaert;;Brussel;;c.1860 - 1910;uitgever schoolboeken, schoolprenten en wandplaten;18
KVCS:44;Chagor ;;opvolger van 69, Chagor, is Etablissements Charles Gordinne;;Luik;;1935 - 1959;drukker, uitgever stripboeken en tijdschriften;33d
KVCS:45;Clement, de Vri & Van Stegeren;m, m, m;samenwerking van S Clement,  J de Vri, D van Stegeren;;Zwolle;;1819 - c.1836;boekdrukkers, prentdrukkers, uitgevers almanak;20
KVCS:46;Conynenberg, Jacobus;m;opvolger van 134;;Amsterdam;;1711 - 1723;boekdrukker, boekverkoper, prentdrukker, prentverkoper;63b
KVCS:47;Cornel, Nicolaas;m;;1756-1841;Rotterdam;op de Meent over de Lombertsche Brug;1787 - 1831;boekdrukker, boekverkoper, prentdrukker, prentverkoper;21
KVCS:49;Delhuvenne,  Weduwe  P J ;v;opvolger van 48, in 1856 verkocht aan M Splichal;;Turnhout;in de Warandestraet;1853 - 1856;boekdrukker, boekverkoper, prentdrukker, prentverkoper;125b
KVCS:48;Delhuvenne, Pieter Jozef ;m;opvolger van 216;;Turnhout;;1842 - 1853;boekdrukker, boekverkoper, prentdrukker, prentverkoper;125a
KVCS:50;Dessain, Firma Pierre;m;opvolger van 88;;Luik en Mechelen;;1855 - 1988;boekdrukker, prentdrukker;22
KVCS:51;Dorp, H M van;m;;;Haarlem;;1878 - 1880;uitgever van kranten, boeken en prenten;23
KVCS:52;Egmont 1,  Weduwe Jacobus van;v;opvolger van Jacobus van Egmont;;Amsterdam;in de Reguliersbreestraat ‘In de Nieuwe Druckerije’;c.1724 - 1761;boekdrukker, boekverkoper, prentdrukker, prentverkoper;24
KVCS:53;Egmont 2, De Erve de Weduwe J van;;opvolger van 52;;Amsterdam;in de Reguliersbreestraat ‘In de Nieuwe Druckerije’;1761 - 1804;boekdrukker, boekverkoper, prentdrukker, prentverkoper;44
KVCS:54;Enschede, Isaak;m;;1681-1781;Haarlem;;1703 - 1740;boekdrukker, prentdrukker, krantuitgever;25
KVCS:55;Felix, Frans;m;;1802-?;Amersfoort;Langestraat nr.11, na c. 1830) nr. 12;1827 - 1843;boekhandelaar,leesbibliotheekhouder, boekbinder, boekdrukker, prentdrukker;26
KVCS:56;Ferwerda, Abraham;m;;1737-1785;Leeuwarden;In de Peperstraat, in de Zaadzaaijer, vanaf 1760 in de Slotmakersstraat;c.1740 - 1778;boekdrukker, boekverkoper, prentdrukker, prentverkoper, leesbibliotheekhouder, boekbinder;27
KVCS:58;Fruijtiers, Joanna Maria;v;opvolger van 57;1731-1784;Antwerpen;;1782 - 1784;prentdrukker, prentverkoper;28a
KVCS:57;Fruijtiers, Ludovicus Joseph;m;;1713-1782;Antwerpen;Kammenstraat, in 'den Prince van Luijck'; 1731 -  1782;graveur, prentdrukker, prentverkoper; 28
KVCS:59;Funke, George Lodewijk;m;;1836-1885;Amsterdam;op de Blauwburgwal;1856 - 1885;uitgever van boeken en prenten, krantuitgever;29
KVCS:61;Genechten, Antonie  van;m;opvolger van 62 ;1809-1874;Turnhout;;1856 - 1870;boekdrukker, prentdrukker, drukker van speelkaarten en sierpapier;31b
KVCS:60;Geûens-Willaert, George & Imagerie Nationale;m;;;Brugge;St. Jansplaats 4 of 5 ;1901 - 1932;boekdrukker, prentdrukker, lithograaf, drukker van speelkaarten en sierpapier;30
KVCS:62;Glenisson & van Genechten;m, m;samenwerking van Jacques Edward Glenisson en 61;;Turnhout;;1833 - 1856;boekdrukker, prentdrukker, drukker van speelkaarten en sierpapier;31
KVCS:63;Glenisson en zonen;m, m, m;opvolger van 62, samenwerking J E Glenisson en zijn zonen Gustave en Edward;;Turnhout;;1856 - 1900;boekdrukker, prentdrukker, speelkaartdrukker;31a
KVCS:65;Gorcum & comp, van;;opvolger van 64;;Assen;;1843 - 1924;boek-, prent- en krantdrukker;32a
KVCS:66;Gorcum NV, Koninklijke van;;opvolger van 65;;Assen;;1924 - heden;drukkerij, wetenschappelijke uitgeverij;32b
KVCS:64;Gorcum, Klaas van;m;;1781-1843;Assen;;1800 - 1843;boek-, prent- en krantdrukker, leesbibliotheek;32
KVCS:67;Gordinne, Charles Alexander;m;;1811-1877;Luik;;1830 - 1877;smoutdrukker;33a
KVCS:68;Gordinne, Chs & fils ;;opvolger van 67, fils is Charles Ferdinand Gordinne, achterkleinzoon van 67;;Luik;;c.1894 - c.1920;boekdrukker, prentdrukker;33b
KVCS:69;Gordinne, Imageries;;opvolger van 68;;Luik;;1894 - c.1945;boekdrukker, prentdrukker;33c
KVCS:70;Greve, Isaak en Barent;m;;;Amsterdam;;1745 - 1751;niet in KVCS, uitgever kopergravs;62
KVCS:72;Groenenbergh, Jannes;m;;;;;1783 - 1799;boekverkoper;
KVCS:73;Groenenbergh, Rudolph II van;m;opvolger van 72;1784-?;Groningen;Vismarkt;1808 - ?;boekverkoper, drukker, uitgever;34b
KVCS:71;Groenenbergh, Rudolph van;m;;?-1799;Groningen;Grote Markt;1749 - 1783;drukker, uitgever en verkoper van boeken en prenten;34
KVCS:77;Groot,  Weduwe  Gysbert de  (=Hendrina Blaeu);v;;c.1665-1719?;Amsterdam;Nieuwen Dyk;1692 - 1719;boek- en prentdrukker en verkoper;35b
KVCS:79;Groot, Erven de  Weduwe G  de;;;;Amsterdam;;1725 - 1739;boek- en prentdrukker en verkoper;35d
KVCS:78;Groot, Erven de  Weduwe G  de & A  van Dam;;;;Amsterdam;"Nieuwen-dyk Ïn den grooten Bybel""";1719 - 1724;boek- en prentdrukker en verkoper;35c
KVCS:76;Groot, Gysbert de;m;;c.1660-1692;Amsterdam;;1683 - 1692;boek- en prentdrukker;35a
KVCS:74;Groot, Michiel I de;m;;;Amsterdam;;c.1643 - 1654;boekdrukker;35
KVCS:75;Groot, Michiel II de;m;;c.1634-1680;Amsterdam;;1657 - 1680;boek- en prentdrukker;35
KVCS:80;Groot-Keur, Gysbert de;m;;;Amsterdam;"Nieuwen-dyk Ïn den grooten Bybel""";1739 - 1767;boek- en prentdrukker en verkoper;35e
KVCS:83;Haan, & Zoon, De;m, m;opvolger van 82;1879;Haarlem;;1879 - 1900;boekverkoper, boek-, prent, en muziekuitgever, leesbibliotheek;36b
KVCS:81;Haan, Ian de ;m;opvolger van141, alleen prentreeks;1829-c.1904;Krommenie;;1852 - 1871;boekverkoper, boekbinder, uitgever, leesbibliotheek;36
KVCS:82;Haan, Ian de ;m;opvolger van 81;;Haarlem;;1871 - 1879;boekverkoper, boek- en prentuitgever;36a
KVCS:84;Haan, Jan de ;m;opvolger van 83;1829-c.1904;Utrecht;;1902 - 1903;prentuitgever;36c
KVCS:86;Hand, J ;m;;;Alkmaar;in de Houttilstraat, over de Kaasmarkt ;1786 - 1860;boek- en prentdrukker, boek- en prentverkoper;38
KVCS:88;Hanicq, François Pierre Joseph ;m;opvolger van 87;1789-1865;Mechelen;;1806 - 1855;boekhandel, drukkerij, uitgeverij;39a
KVCS:89;Hanicq, Hubert François ;m;opvolger van 87;;Mechelen;Begijnenstraat;1829 - ?;drukkerij;39b
KVCS:87;Hanicq, Petrus Josephus;m; ;1753-1828;Mechelen;Steenweg, achter het vleeshuis;1817 - 1828;boekhandel, drukkerij vsn borkrn, prenten en kranten, krantuitgever;39
KVCS:90;Hemeleers - van Houter;m;;1804-1880;Schaarbeek;;1827 - 1880;drukker van prenten, speelkaarten en fantasiepapier;40
KVCS:91;Hemeleers, opvolger (zoon van 90);m;opvolger van 90;;Schaarbeek;;1880 - 1894;drukker van prenten, speelkaarten en fantasiepapier;40
KVCS:93;Hendriksen jr (Theodorus Johannes) & J  B  Ulrich;m, m;;;Rotterdam;;1816 - 1819;boekverkopers, boek- en prentdrukkers;42
KVCS:254;Hendriksen, Gebr (P.C. Hendriksen en A. Hendriksen);m. m;opvolger van 220 voor de drukkerij;;Rotterdam;;1849 - ?;boek- en prentdrukkers;
KVCS:255;Hendriksen, Hendrik Theodorus;m;opvolger van 220 voor de boekhandel;;Rotterdam;Hoogstraat 7-58;1847 - ?;boekhandelaar;
KVCS:92;Hendriksen, Jan;m;;1761-1828;Rotterdam;in ‘’t Hang by de Groote Markt’, later: aan de Hoogstraat bij het stadhuis;1782 - 1828;boekverkoper, boek- en prentdrukker;41
KVCS:95;Hissink, Willem & Jan;m, m;opvolger van94;;Zutphen;;1831 - 1842;handelaren cin papier en lompen, prentuitgevers, wederverkopers van prenten;43a
KVCS:94;Hissink, Willem & Meindert Peter;m, m;;;Zutphen;;1826 - 1830;papierhanderlaren, prentuitgevers, wederverkopers van prenten;43
KVCS:96;Hoffers, Teunis Cornelis ;m;;1795-1865;Rotterdam;in de Korte Pannekoekstraat bij de Nieuwe Markt, Wijk 1, nopvolger van 330’;c.1820 - 1839;boekdrukker, prentdrukker, uitgever;44
KVCS:98;Hollingerus Pijpers,  Weduwe  F B ;v;opvolger van8;;Breda;;1825 - 1828;boek-, prent- en krantuitgever en -verkoper;45a
